node_id,username,full_name,party,chamber,community_id
21,MikeCrapo,Mike Crapo,,,Other
47,SenatorLankford,James Lankford,,,Other
70,SenSanders,Bernie Sanders,,,Other
72,SenRickScott,Rick Scott,,,Other
138,RepCarbajal,Salud Carbajal,Democrat,House,Democrat
160,WhipClyburn,James Clyburn,Democrat,House,Democrat
161,Rep_Clyde,Andrew Clyde,Republican,House,Republican
190,RepJeffDuncan,Jeff Duncan,Republican,House,Republican
234,RepMTG,Marjorie Greene,Republican,House,Republican
246,CongressmanHice,Jody Hice,Republican,House,Republican
260,RepRonnyJackson,Ronny Jackson,Republican,House,Republican
306,USRepLong,Billy Long,Republican,House,Republican
335,RepMMM,Mariannette Miller-Meeks,Republican,House,Republican
389,RepChipRoy,Chip Roy,Republican,House,Republican
415,RepSlotkin,Elissa Slotkin,Democrat,House,Democrat
422,RepSpartz,Victoria Spartz,Republican,House,Republican
428,RepStefanik,Elise Stefanik,Republican,House,Republican
20,SenKevinCramer,Kevin Cramer,,,Other
26,SenJoniErnst,Joni Ernst,,,Other
36,SenatorHick,John Hickenlooper,,,Other
38,SenJohnHoeven,John Hoeven,,,Other
130,RepKenBuck,Ken Buck,Republican,House,Republican
139,RepCardenas,Tony Cárdenas,Democrat,House,Democrat
201,RepFischbach,Michelle Fischbach,Republican,House,Republican
207,RepLoisFrankel,Lois Frankel,Democrat,House,Democrat
251,RepAshleyHinson,Ashley Hinson,Republican,House,Republican
325,BettyMcCollum04,Betty McCollum,Democrat,House,Democrat
349,RepJoeNeguse,Joe Neguse,Democrat,House,Democrat
358,Ilhan,Ilhan Omar,Democrat,House,Democrat
367,SpeakerPelosi,Nancy Pelosi,Democrat,House,Democrat
371,RepDeanPhillips,Dean Phillips,Democrat,House,Democrat
423,RepSpeier,Jackie Speier,Democrat,House,Democrat
5,RoyBlunt,Roy Blunt,,,Other
90,RonWyden,Ron Wyden,,,Other
92,RepAdams,Alma Adams,Democrat,House,Democrat
119,RepBonamici,Suzanne Bonamici,Democrat,House,Democrat
122,RepBowman,Jamaal Bowman,Democrat,House,Democrat
135,RepCori,Cori Bush,Democrat,House,Democrat
155,RepKClark,Katherine Clark,Democrat,House,Democrat
165,GerryConnolly,Gerald Connolly,Democrat,House,Democrat
177,RepPeterDeFazio,Peter DeFazio,Democrat,House,Democrat
256,RepHuffman,Jared Huffman,Democrat,House,Democrat
424,Rep_Stansbury,Melanie Stansbury,NAN,House,Other
465,RepWexton,Jennifer Wexton,Democrat,House,Democrat
467,RepNikema,Nikema Williams,Democrat,House,Democrat
6,CoryBooker,Cory Booker,,,Other
15,SenBillCassidy,Bill Cassidy,,,Other
35,MartinHeinrich,Martin Heinrich,,,Other
60,ossoff,Jon Ossoff,,,Other
81,SenThomTillis,Thom Tillis,,,Other
82,SenToomey,Pat Toomey,,,Other
148,USRepKCastor,Kathy Castor,Democrat,House,Democrat
183,RepDeSaulnier,Mark DeSaulnier,Democrat,House,Democrat
375,RepKatiePorter,Katie Porter,Democrat,House,Democrat
381,RepKathleenRice,Kathleen Rice,Democrat,House,Democrat
411,BradSherman,Brad Sherman,Democrat,House,Democrat
416,RepAdamSmith,Adam Smith,Democrat,House,Democrat
437,claudiatenney,Claudia Tenney,Republican,House,Republican
439,RepThompson,Mike Thompson,Democrat,House,Democrat
8,SenatorBraun,John Braun,,,Other
10,SenatorCantwell,Maria Cantwell,,,Other
37,maziehirono,Mazie Hirono,,,Other
180,RepDelBene,Suzan DelBene,Democrat,House,Democrat
262,RepSaraJacobs,Sara Jacobs,Democrat,House,Democrat
263,RepJayapal,Pramila Jayapal,Democrat,House,Democrat
281,RepDerekKilmer,Derek Kilmer,Democrat,House,Democrat
292,RepRickLarsen,Rick Larsen,Democrat,House,Democrat
351,RepNewhouse,Dan Newhouse,Republican,House,Republican
368,RepPerlmutter,Ed Perlmutter,Democrat,House,Democrat
376,RepPressley,Ayanna Pressley,Democrat,House,Democrat
405,RepKimSchrier,Kim Schrier,Democrat,House,Democrat
433,RepStricklandWA,Marilyn Strickland,Democrat,House,Democrat
33,SenatorHassan,Maggie Hassan,,,Other
65,SenJackReed,Jack Reed,,,Other
287,RepAnnieKuster,Ann Kuster,Democrat,House,Democrat
329,RepMcKinley,David McKinley,Republican,House,Republican
364,RepChrisPappas,Chris Pappas,Democrat,House,Democrat
23,SteveDaines,Steve Daines,,,Other
66,SenatorRisch,Jim Risch,,,Other
117,RepLBR,Lisa Blunt Rochester,Democrat,House,Democrat
137,RepKatCammack,Kat Cammack,Republican,House,Republican
266,RepDustyJohnson,Dusty Johnson,Republican,House,Republican
336,RepCarolMiller,Carol Miller,Republican,House,Republican
400,RepMGS,Mary Scanlon,Democrat,House,Democrat
444,RepPaulTonko,Paul Tonko,Democrat,House,Democrat
466,RepSusanWild,Susan Wild,Democrat,House,Democrat
7,JohnBoozman,John Boozman,,,Other
51,SenLummis,Cynthia Lummis,,,Other
63,SenGaryPeters,Gary Peters,,,Other
188,RepDonaldsPress,Byron Donalds,Republican,House,Republican
280,RepDanKildee,Dan Kildee,Democrat,House,Democrat
296,RepLawrence,Brenda Lawrence,Democrat,House,Democrat
431,RepHaleyStevens,Haley Stevens,Democrat,House,Democrat
443,RepRashida,Rashida Tlaib,Democrat,House,Democrat
43,SenMarkKelly,Mark Kelly,,,Other
73,SenatorTimScott,Tim Scott,,,Other
214,RepGarbarino,Andrew Garbarino,Republican,House,Republican
311,RepElaineLuria,Elaine Luria,Democrat,House,Democrat
326,RepMcEachin,A. McEachin,Democrat,House,Democrat
408,BobbyScott,Bobby Scott,Democrat,House,Democrat
421,RepSpanberger,Abigail Spanberger,Democrat,House,Democrat
121,RepBourdeaux,Carolyn Bourdeaux,Democrat,House,Democrat
143,RepBuddyCarter,Buddy Carter,Republican,House,Republican
169,RepAngieCraig,Angie Craig,Democrat,House,Democrat
259,JacksonLeeTX18,Sheila Jackson Lee,Democrat,House,Democrat
410,RepTerriSewell,Terri Sewell,Democrat,House,Democrat
96,RepColinAllred,Colin Allred,Democrat,House,Democrat
105,RepJimBanks,Jim Banks,Republican,House,Republican
156,RepYvetteClarke,Yvette Clarke,Democrat,House,Democrat
157,repcleaver,Emanuel Cleaver,Democrat,House,Democrat
171,RepJasonCrow,Jason Crow,Democrat,House,Democrat
174,WarrenDavidson,Warren Davidson,Republican,House,Republican
222,RepJimmyGomez,Jimmy Gomez,Democrat,House,Democrat
270,RepMondaire,Mondaire Jones,Democrat,House,Democrat
279,RepRoKhanna,Ro Khanna,Democrat,House,Democrat
303,RepAndyLevin,Andy Levin,Democrat,House,Democrat
318,RepThomasMassie,Thomas Massie,Republican,House,Republican
365,BillPascrell,Bill Pascrell,Democrat,House,Democrat
438,BennieGThompson,Bennie Thompson,Democrat,House,Democrat
461,RepBonnie,Bonnie Watson Coleman,Democrat,House,Democrat
463,PeterWelch,Peter Welch,Democrat,House,Democrat
142,RepAndreCarson,André Carson,Democrat,House,Democrat
176,RepDean,Madeleine Dean,Democrat,House,Democrat
194,RepAnnaEshoo,Anna Eshoo,Democrat,House,Democrat
200,RepDrewFerguson,Drew Ferguson,Republican,House,Republican
298,RepBarbaraLee,Barbara Lee,Democrat,House,Democrat
305,RepTedLieu,Ted Lieu,Democrat,House,Democrat
321,RepLucyMcBath,Lucy McBath,Democrat,House,Democrat
332,RepGraceMeng,Grace Meng,Democrat,House,Democrat
347,gracenapolitano,Grace Napolitano,Democrat,House,Democrat
377,RepDavidEPrice,David Price,Democrat,House,Democrat
445,NormaJTorres,Norma Torres,Democrat,House,Democrat
455,NydiaVelazquez,Nydia Velázquez,Democrat,House,Democrat
469,RepWilson,Frederica Wilson,Democrat,House,Democrat
211,RepGallagher,Mike Gallagher,Republican,House,Republican
372,chelliepingree,Chellie Pingree,Democrat,House,Democrat
471,RobWittman,Robert Wittman,Republican,House,Republican
56,JerryMoran,Jerry Moran,,,Other
109,RepBeatty,Joyce Beatty,Democrat,House,Democrat
128,RepBrownley,Julia Brownley,Democrat,House,Democrat
267,RepEBJ,Eddie Johnson,Democrat,House,Democrat
275,USRepKeating,Bill Keating,Democrat,House,Democrat
352,RepMarieNewman,Marie Newman,Democrat,House,Democrat
419,RepSmucker,Lloyd Smucker,Republican,House,Republican
429,RepBryanSteil,Bryan Steil,Republican,House,Republican
99,RepAuchincloss,Jake Auchincloss,Democrat,House,Democrat
236,RepRaulGrijalva,Raúl Grijalva,Democrat,House,Democrat
300,RepTeresaLF,Teresa Leger Fernandez,Democrat,House,Democrat
353,DonaldNorcross,Donald Norcross,Democrat,House,Democrat
440,RepTiffany,Thomas Tiffany,Republican,House,Republican
127,RepShontelBrown,Shontel Brown,Democrat,House,Democrat
153,CongresswomanSC,Sheila Cherfilus-McCormick,Democrat,House,Democrat
346,RepJerryNadler,Jerrold Nadler,Democrat,House,Democrat
464,RepWesterman,Bruce Westerman,Republican,House,Republican
1,SenJohnBarrasso,John Barrasso,Republican,Senate,Republican
39,SenHydeSmith,Hyde Smith,,,Other
52,Sen_JoeManchin,Joe Manchin,,,Other
192,RepTomEmmer,Tom Emmer,Republican,House,Republican
426,RepPeteStauber,Pete Stauber,Republican,House,Republican
459,michaelgwaltz,Mike Waltz,,,Other
40,JimInhofe,Jim Inhofe,,,Other
22,SenTedCruz,Ted Cruz,,,Other
102,RepDonBacon,Don Bacon,Republican,House,Republican
107,RepBarragan,Nanette Barragán,Democrat,House,Democrat
145,RepTroyCarter,Troy Carter,Democrat,House,Democrat
185,MarioDB,Mario Diaz-Balart,Republican,House,Republican
233,RepMarkGreen,Mark Green,Republican,House,Republican
245,RepHerrell,Yvette Herrell,Republican,House,Republican
331,RepMeijer,Peter Meijer,Republican,House,Republican
16,ChrisCoons,Chris Coons,,,Other
45,SenAngusKing,Angus King,,,Other
83,SenTuberville,Tommy Tuberville,,,Other
132,RepTedBudd,Ted Budd,Republican,House,Republican
134,michaelcburgess,Michael Burgess,Republican,House,Republican
152,RepLizCheney,Liz Cheney,Republican,House,Republican
223,RepTonyGonzales,Tony Gonzales,Republican,House,Republican
230,RepKayGranger,Kay Granger,Republican,House,Republican
257,RepHuizenga,Bill Huizenga,Republican,House,Republican
322,GOPLeader,Kevin McCarthy,Republican,House,Republican
323,RepMcCaul,Michael McCaul,Republican,House,Republican
342,RepJoeMorelle,Joe Morelle,Democrat,House,Democrat
345,RepStephMurphy,Stephanie Murphy,Democrat,House,Democrat
370,RepPfluger,August Pfluger,Republican,House,Republican
409,PeteSessions,Pete Sessions,Republican,House,Republican
473,RepJohnYarmuth,John Yarmuth,Democrat,House,Democrat
78,SenDanSullivan,Dan Sullivan,,,Other
97,RepArmstrongND,Kelly Armstrong,Republican,House,Republican
226,RepBobGood,Bob Good,Republican,House,Republican
417,RepAdrianSmith,Adrian Smith,Republican,House,Republican
209,RepRussFulcher,Russ Fulcher,Republican,House,Republican
413,CongMikeSimpson,Mike Simpson,Republican,House,Republican
294,boblatta,Bob Latta,Republican,House,Republican
29,SenGillibrand,Kirsten Gillibrand,,,Other
218,RepBobGibbs,Bob Gibbs,Republican,House,Republican
386,RepRosendale,Matthew Rosendale,Republican,House,Republican
113,RepAndyBiggsAZ,Andy Biggs,Republican,House,Republican
249,RepFrenchHill,French Hill,Republican,House,Republican
291,JimLangevin,James Langevin,Democrat,House,Democrat
314,RepMalliotakis,Nicole Malliotakis,Republican,House,Republican
330,RepGregoryMeeks,Gregory Meeks,Democrat,House,Democrat
449,RepMikeTurner,Michael Turner,Republican,House,Republican
41,SenRonJohnson,Ron Johnson,,,Other
44,SenJohnKennedy,John Kennedy,,,Other
94,RepPeteAguilar,Pete Aguilar,Democrat,House,Democrat
114,RepGusBilirakis,Gus Bilirakis,Republican,House,Republican
219,RepCarlos,Carlos Gimenez,Republican,House,Republican
269,RepMikeJohnson,Mike Johnson,Republican,House,Republican
396,RepMariaSalazar,Maria Salazar,Republican,House,Republican
435,RepSwalwell,Eric Swalwell,Democrat,House,Democrat
271,Jim_Jordan,Jim Jordan,Republican,House,Republican
272,RepDaveJoyce,David Joyce,Republican,House,Republican
399,SteveScalise,Steve Scalise,Republican,House,Republican
432,RepChrisStewart,Chris Stewart,Republican,House,Republican
238,RepMichaelGuest,Michael Guest,Republican,House,Republican
360,CongPalazzo,Steven Palazzo,Republican,House,Republican
383,cathymcmorris,Cathy Rodgers,Republican,House,Republican
384,RepMikeRogersAL,Mike Rogers,Republican,House,Republican
446,RepRitchie,Ritchie Torres,Democrat,House,Democrat
103,RepJimBaird,James Baird,Republican,House,Republican
116,RepDanBishop,Dan Bishop,Republican,House,Republican
125,RepMoBrooks,Mo Brooks,Republican,House,Republican
208,RepFranklin,Scott Franklin,Republican,House,Republican
220,replouiegohmert,Louie Gohmert,Republican,House,Republican
242,RepHartzler,Vicky Hartzler,Republican,House,Republican
244,repkevinhern,Kevin Hern,Republican,House,Republican
248,RepClayHiggins,Clay Higgins,Republican,House,Republican
261,RepJacobs,Chris Jacobs,Republican,House,Republican
276,RepFredKeller,Fred Keller,Republican,House,Republican
301,RepDLesko,Debbie Lesko,Republican,House,Republican
324,RepLisaMcClain,Lisa McClain,Republican,House,Republican
343,RepMullin,Markwayne Mullin,Republican,House,Republican
354,RepRalphNorman,Ralph Norman,Republican,House,Republican
382,RepTomRice,Tom Rice,Republican,House,Republican
385,RepJohnRose,John Rose,Republican,House,Republican
407,AustinScottGA08,Austin Scott,Republican,House,Republican
441,RepTimmons,William Timmons,Republican,House,Republican
104,RepBalderson,Troy Balderson,Republican,House,Republican
141,RepJerryCarl,Jerry Carl,Republican,House,Republican
175,RodneyDavis,Rodney Davis,Republican,House,Republican
199,RepFeenstra,Randy Feenstra,Republican,House,Republican
237,RepGrothman,Glenn Grothman,Republican,House,Republican
277,MikeKellyPA,Mike Kelly,Republican,House,Republican
289,RepLaHood,Darin LaHood,Republican,House,Republican
290,RepLaMalfa,Doug LaMalfa,Republican,House,Republican
309,RepFrankLucas,Frank Lucas,Republican,House,Republican
310,RepBlaine,Blaine Luetkemeyer,Republican,House,Republican
418,RepJasonSmith,Jason Smith,Republican,House,Republican
420,RepDarrenSoto,Darren Soto,Democrat,House,Democrat
101,RepBrianBabin,Brian Babin,Republican,House,Republican
225,RepGonzalez,Vicente Gonzalez,Democrat,House,Democrat
313,RepMalinowski,Tom Malinowski,Democrat,House,Democrat
340,RepBlakeMoore,Blake Moore,Republican,House,Republican
350,RepTroyNehls,Troy Nehls,Republican,House,Republican
95,RepRickAllen,Rick Allen,Republican,House,Republican
112,RepBice,Stephanie Bice,Republican,House,Republican
129,VernBuchanan,Vern Buchanan,Republican,House,Republican
144,JudgeCarter,John Carter,Republican,House,Republican
150,RepCawthorn,Madison Cawthorn,Republican,House,Republican
203,RepChuck,Chuck Fleischmann,Republican,House,Republican
241,RepHarshbarger,Diana Harshbarger,Republican,House,Republican
295,RepLaTurner,Jake LaTurner,Republican,House,Republican
302,RepJuliaLetlow,Julia Letlow,Republican,House,Republican
312,RepNancyMace,Nancy Mace,Republican,House,Republican
402,RepAdamSchiff,Adam Schiff,Democrat,House,Democrat
427,RepSteel,Michelle Steel,Republican,House,Republican
462,RepWebster,Daniel Webster,Republican,House,Republican
198,RepPatFallon,Pat Fallon,Republican,House,Republican
216,RepMikeGarcia,Mike Garcia,Republican,House,Republican
380,GReschenthaler,Guy Reschenthaler,Republican,House,Republican
178,RepDianaDeGette,Diana DeGette,Democrat,House,Democrat
189,USRepMikeDoyle,Michael Doyle,Democrat,House,Democrat
265,RepBillJohnson,Bill Johnson,Republican,House,Republican
363,RepJimmyPanetta,Jimmy Panetta,Democrat,House,Democrat
394,RepTimRyan,Tim Ryan,Democrat,House,Democrat
282,RepAndyKimNJ,Andy Kim,Democrat,House,Democrat
283,RepYoungKim,Young Kim,Republican,House,Republican
317,RepKManning,Kathy Manning,Democrat,House,Democrat
167,RepJimCosta,Jim Costa,Democrat,House,Democrat
202,RepBrianFitz,Brian Fitzpatrick,Republican,House,Republican
67,SenatorRomney,Mitt Romney,,,Other
191,DrNealDunnFL2,Neal Dunn,Republican,House,Republican
359,RepBurgessOwens,Burgess Owens,Republican,House,Republican
361,FrankPallone,Frank Pallone,Democrat,House,Democrat
131,RepLarryBucshon,Larry Bucshon,Republican,House,Republican
173,RepDavids,Sharice Davids,Democrat,House,Democrat
212,RepRubenGallego,Ruben Gallego,Democrat,House,Democrat
221,RepGolden,Jared Golden,Democrat,House,Democrat
412,RepSherrill,Mikie Sherrill,Democrat,House,Democrat
151,RepSteveChabot,Steve Chabot,Republican,House,Republican
210,RepMattGaetz,Matt Gaetz,Republican,House,Republican
339,RepBarryMoore,Barry Moore,Republican,House,Republican
344,RepGregMurphy,Gregory Murphy,Republican,House,Republican
93,Robert_Aderholt,Robert Aderholt,Republican,House,Republican
133,RepTimBurchett,Tim Burchett,Republican,House,Republican
172,RepJohnCurtis,John Curtis,Republican,House,Republican
253,RepHoulahan,Chrissy Houlahan,Democrat,House,Democrat
316,RepSeanMaloney,Sean Maloney,Democrat,House,Democrat
184,RepTedDeutch,Theodore Deutch,Democrat,House,Democrat
320,DorisMatsui,Doris Matsui,Democrat,House,Democrat
373,StaceyPlaskett,Stacey Plaskett,Democrat,House,Democrat
62,RandPaul,Rand Paul,,,Other
288,RepDavidKustoff,David Kustoff,Republican,House,Republican
468,RepRWilliams,Roger Williams,Republican,House,Republican
458,RepWalorski,Jackie Walorski,Republican,House,Republican
159,RepCloudTX,Michael Cloud,Republican,House,Republican
258,repdarrellissa,Darrell Issa,Republican,House,Republican
337,RepMaryMiller,Mary Miller,Republican,House,Republican
284,RepRonKind,Ron Kind,Democrat,House,Democrat
69,marcorubio,Marco Rubio,,,Other
390,RepRoybalAllard,Lucille Roybal-Allard,Democrat,House,Democrat
397,RepLindaSanchez,Linda Sánchez,Democrat,House,Democrat
319,RepBrianMast,Brian Mast,Republican,House,Republican
19,SenTomCotton,Tom Cotton,,,Other
181,repdelgado,Antonio Delgado,,,Other
388,RepDavidRouzer,David Rouzer,Republican,House,Republican
231,RepGarretGraves,Garret Graves,Republican,House,Republican
355,EleanorNorton,Eleanor Norton,Democrat,House,Democrat
379,RepRaskin,Jamie Raskin,Democrat,House,Democrat
118,RepBoebert,Lauren Boebert,Republican,House,Republican
140,RepMikeCarey,Mike Carey,Republican,House,Republican
164,RepJamesComer,James Comer,Republican,House,Republican
228,RepGosar,Paul Gosar,Republican,House,Republican
333,RepMeuser,Daniel Meuser,Republican,House,Republican
338,RepAlexMooney,Alexander Mooney,Republican,House,Republican
406,RepDavid,David Schweikert,Republican,House,Republican
414,RepSires,Albio Sires,Democrat,House,Democrat
106,RepAndyBarr,Andy Barr,Republican,House,Republican
472,rep_stevewomack,Steve Womack,Republican,House,Republican
195,RepEspaillat,Adriano Espaillat,Democrat,House,Democrat
348,RepRichardNeal,Richard Neal,Democrat,House,Democrat
100,RepCindyAxne,Cynthia Axne,Democrat,House,Democrat
239,RepGuthrie,Brett Guthrie,Republican,House,Republican
274,RepJohnKatko,John Katko,Republican,House,Republican
474,RepLeeZeldin,Lee Zeldin,Republican,House,Republican
170,RepCharlieCrist,Charlie Crist,Democrat,House,Democrat
430,RepGregSteube,W. Steube,Republican,House,Republican
366,RepDonaldPayne,Donald Payne,Democrat,House,Democrat
186,RepDebDingell,Debbie Dingell,Democrat,House,Democrat
49,SenMikeLee,Mike Lee,,,Other
391,RepRaulRuizMD,Raul Ruiz,Democrat,House,Democrat
451,RepDavidValadao,David Valadao,Republican,House,Republican
436,RepMarkTakano,Mark Takano,Democrat,House,Democrat
453,RepJuanVargas,Juan Vargas,Democrat,House,Democrat
115,SanfordBishop,Sanford Bishop,Democrat,House,Democrat
187,RepLloydDoggett,Lloyd Doggett,Democrat,House,Democrat
204,RepFletcher,Lizzie Fletcher,Democrat,House,Democrat
285,RepKirkpatrick,Ann Kirkpatrick,Democrat,House,Democrat
378,RepMikeQuigley,Mike Quigley,Democrat,House,Democrat
369,RepScottPeters,Scott Peters,Democrat,House,Democrat
252,RepHorsford,Steven Horsford,Democrat,House,Democrat
232,RepAlGreen,Al Green,Democrat,House,Democrat
182,RepValDemings,Val Demings,Democrat,House,Democrat
362,USRepGaryPalmer,Gary Palmer,Republican,House,Republican
108,RepKarenBass,Karen Bass,Democrat,House,Democrat
304,RepMikeLevin,Mike Levin,Democrat,House,Democrat
297,RepAlLawsonJr,Al Lawson,Democrat,House,Democrat
163,TomColeOK04,Tom Cole,Republican,House,Republican
196,RepRonEstes,Ron Estes,Republican,House,Republican
273,RepJohnJoyce,John Joyce,Republican,House,Republican
206,virginiafoxx,Virginia Foxx,Republican,House,Republican
307,RepLoudermilk,Barry Loudermilk,Republican,House,Republican
120,RepBost,Mike Bost,Republican,House,Republican
264,RepJeffries,Hakeem Jeffries,Democrat,House,Democrat
357,JayObernolte,Jay Obernolte,Republican,House,Republican
166,RepLouCorrea,Lou Correa,Democrat,House,Democrat
98,RepArrington,Jodey Arrington,Republican,House,Republican
308,RepLowenthal,Alan Lowenthal,Democrat,House,Democrat
235,RepMGriffith,Morgan Griffith,Republican,House,Republican
425,RepGregStanton,Greg Stanton,Democrat,House,Democrat
328,PatrickMcHenry,Patrick McHenry,Republican,House,Republican
124,RepKevinBrady,Kevin Brady,Republican,House,Republican
457,RepWalberg,Tim Walberg,Republican,House,Republican
146,RepEdCase,Ed Case,Democrat,House,Democrat
34,HawleyMO,Josh Hawley,,,Other
404,RepSchrader,Kurt Schrader,Democrat,House,Democrat
31,ChuckGrassley,Chuck Grassley,,,Other
158,RepBenCline,Ben Cline,Republican,House,Republican
395,Kilili_Sablan,Gregorio Sablan,Democrat,House,Democrat
227,Lancegooden,Lance Gooden,Republican,House,Republican
240,RepJoshHarder,Josh Harder,Democrat,House,Democrat
356,RepOHalleran,Tom O'Halleran,Democrat,House,Democrat
434,RepTomSuozzi,Thomas Suozzi,Democrat,House,Democrat
456,RepAnnWagner,Ann Wagner,Republican,House,Republican
